Municipality;Address;Building;Year_of_listing;Year_of_construction;Period;Description;Full_address;Latitude;Longitude
Aabenraa;Skibbrogade 14;Skibbrogade 14;1977;1825;Classicism;Det grundmurede forhus (formentlig mellem 1825 og 1830). Fredet 1977.*;Skibbrogade 14, Aabenraa, Danmark;55,0419240;9,4207180
Aabenraa;Skibbrogade 5;Skibbrogade 5;1977;1754;Classicism;Det grundmurede forhus og den hermed sammenbyggede sidebygning (mellem 1754 og 1764). Fredet 1977.*;Skibbrogade 5, Aabenraa, Danmark;55,0421710;9,4199030
Aabenraa;Skibbrogade 8;Skibbrogade 8;1971;1752;Classicism;Forhus og sidehus (ældre gavlhus med fløj langs gaden, ombygget og grundmuret 1752). Fredet 1971.*;Skibbrogade 8, Aabenraa, Danmark;55,0420550;9,4200230
Aabenraa;Skovbølgaardvej 10;Skovbølgård;1925;1765;Classicism;Hovedbygningen (1765) og de to udlænger (sydlængen 1760 og nordlængen 1761). Fredet 1925.*;Skovbølgaardvej 10, Aabenraa, Danmark;55,0054280;9,5536550
Aabenraa;Skrænten 50, (tidl;Storegade 11 B) (tidl;1978;1800;Classicism;7-9). Skrænten 50. Det grundmurede pakhus i gården (første halvdel af 1800-tallet). Fredet 1978.*;Skrænten 50, (tidl, Aabenraa, Danmark;;
Aabenraa;Slotsgade 14;Slotsgade 14;1921;1767;Classicism;Forhuset (1767). Fredet 1921.*;Slotsgade 14, Aabenraa, Danmark;55,0414770;9,4175420
Aabenraa;Slotsgade 20;Slotsgade 20;1971;1750;Classicism;Det otte fag dybe bindingsværksgavlhus med grundmuret gavl mod gaden (de syv forreste fag mellem 1750 og 1770, forlænget med et grundmuret fag ca. 1845, vestsiden grundmuret i 1900-tallet). Fredet 1971.*;Slotsgade 20, Aabenraa, Danmark;55,0414760;9,4171320
Aabenraa;Slotsgade 24;Slotsgade 24;1977;1765;Classicism;Det grundmurede forhus (1765-66, gadesiden delvis ombygget kort efter 1855) samt gårdspladsens brolægning. Fredet 1977.*;Slotsgade 24, Aabenraa, Danmark;55,0414200;9,4168370
Aabenraa;Slotsgade 28;Slotsgade 28;1971;1798;Classicism;Det grundmurede forhus (1798). Fredet 1971.*;Slotsgade 28, Aabenraa, Danmark;55,0412710;9,4162130
Aabenraa;Slotsgade 29;Slotsgade 29;1921;1770;Classicism;Det ni fag dybe toetages gavlhus (de fem forreste fag 1770, de fire bageste mellem 1775 og 1778) og det trefags sidehus (ca. 1750) samt gårdspladsens brolægning. Fredet 1921.*;Slotsgade 29, Aabenraa, Danmark;55,0413050;9,4168150
Aabenraa;Slotsgade 31;Slotsgade 31;1971;1785;Classicism;Det grundmurede forhus (mellem 1785 og 1788). Fredet 1971.*;Slotsgade 31, Aabenraa, Danmark;55,0412440;9,4165840
Aabenraa;Storegade 30;Aabenraa Rådhus;1932;1828;Classicism;Rådhusbygningen (1828-30 af C.F. Hansen). Fredet 1932.;Storegade 30, Aabenraa, Danmark;55,0431810;9,4186610
Aabenraa;Storetorv 9, hj;af Søndergade;1971;1785;Classicism;Redergården. Den vinkelbyggede gård, opr. omfattende et gavlhus langs Søndergade med gavl og portbygning mod torvet (1785-87, ombygget til sit nuværende udseende ca. 1825). Fredet 1971.*;Storetorv 9, hj, Aabenraa, Danmark;;
Aabenraa;Søgård Hovvej 1;Søgård;1927;1780;Classicism;Laden (1780). Fredet 1927.;Søgård Hovvej 1, Aabenraa, Danmark;54,9408880;9,4511110
Aabenraa;Søndergade 10;Søndergade 10;1924;1767;Classicism;Bulhuslængen mod Slotsgade (1767). Fredet 1924.;Søndergade 10, Aabenraa, Danmark;55,0417650;9,4190780
Aabenraa;Søndergade 20;Postholdergården;1921;1758;Classicism;Det grundmurede forhus med sidebygning (1758), brolægningen i gården, stakittet mellem gårdspladsen og haven, havens anlæg med markeret akse, lysthus og busketter, den hertil grænsende havemur med omkransende træbeplantning og busketter bl.a. rhododendron. Fredet 1921. Udvidet 1982.*;Søndergade 20, Aabenraa, Danmark;55,1147500;9,3588580
Aabenraa;Søndergade 9;Øster Løgum Præstegård;1979;1800;Classicism;Det firelængede præstegårdsanlæg med udløberfløj (ca. 1800-50, muligvis med dele fra 1600-tallet), brolægning og hegnsmure. Fredet 1979.;Søndergade 9, Aabenraa, Danmark;55,1158530;9,3597860
Aabenraa;Sønderport 1 A;Schwennesens Stiftelse;1921;1772;Classicism;Forhuset (1772). Fredet 1921.*;Sønderport 1 A, Aabenraa, Danmark;55,0405850;9,4199520
Aabenraa;Toften 37 A;Jacob Michelsens Gård;1988;1826;Classicism;Stuehuslængen (før 1826), ladebygningen, bagehuset (slut. 1800), den åbne vognport samt haven. Fredet 1988.;Toften 37 A, Aabenraa, Danmark;55,0507670;9,4118440
Aabenraa;Varnæsvej 700;Varnæs Præstegård;1954;1779;Classicism;Stuehuset og udlængen. Fredet 1954.;Varnæsvej 700, Aabenraa, Danmark;55,0078860;9,5735590
Aabenraa;Vægterpladsen 2, hj;af Jomfrugangen;1921;1803;Classicism;Tresuren. Gavlhuset på tre fag (1803). Fredet 1921.*;Vægterpladsen 2, hj, Aabenraa, Danmark;;
Aabenraa;H.P Hanssens Gade 42;Amtshus (Kreishaus);2013;1901;Historicism;Amtshus (Kreishaus), Aabenraa. Det trefløjede amtshus (Kreishaus) (1901 af F.W.A. Jablonowski). Fredet 2013.*;H.P, Aabenraa, Danmark;55,0463109;9,4206422
Aabenraa;Jernbanegade 2;Åbenrå Banegård;1988;1867;Historicism;Stationsbygningen (1867 af N.P. Holsøe). Fredet 1988.;Jernbanegade 2, Aabenraa, Danmark;55,0490950;9,4182930
Aabenraa;Lindsnakkevej 95;Haus Lensnack;2018;1909;Historicism;Villaen Haus Lensnack (1909-10 af Anton Huber, udv. 2001) med tilhørende haveanlæg. Fredet 2018;Lindsnakkevej 95, Aabenraa, Danmark;55,0418250;9,4379900
Aabenraa;Persillegade 5;Persillegade 5;1977;1866;Historicism;Det grundmurede forhus (1866). Fredet 1977.*;Persillegade 5, Aabenraa, Danmark;55,0444910;9,4146060
Aabenraa;Skibbroen 20-22;Toldboden;1977;1853;Historicism;Nordfløjen (1853-54 formentlig af L.A. Winstrup). Fredet 1977.*;Skibbroen 20-22, Aabenraa, Danmark;55,0404067;9,4219815
Aabenraa;Skolevej 1C (tidl;Ramsherred 40);1977;1863;Historicism;Pakhuset. Det grundmurede pakhus (1863). Fredet 1977.;Skolevej 1C (tidl, Aabenraa, Danmark;;
Aabenraa;Snorhavevej 28;Snorhavevej 28;1991;1850;Historicism;Stuehus samt lade- og staldbygningen (ca. 1850). Fredet 1991.*;Snorhavevej 28, Aabenraa, Danmark;55,0700600;9,4608460
Aabenraa;Storegade 24;Marcussens Gård;1977;1859;Historicism;Forhuset (formentlig 1723) med sidehus (1. sidehus før 1744, 2. sidehus mellem 1754 og 1764, 3. sidehus mellem 1845 og 1855) og tværhuset (1859) samt gårdspladsens brolægning. Fredet 1977.*;Storegade 24, Aabenraa, Danmark;55,0435730;9,4187460
Aabenraa;Fiskergade 3 A;Fiskergade 3 A;1977;1744;Baroque and rococo;Det 11 fag dybe gavlhus (før 1744, delvis grundmuret mellem 1825 og 1835) med den korte sidebygning. Fredet 1977.*;Fiskergade 3 A, Aabenraa, Danmark;55,0417780;9,4204300
Aabenraa;Kirkeplads 8 A-C;Den gamle Drengeskole;1978;1737;Baroque and rococo;Kirkeplads 8A-B: forhuset (1737, sydsiden forhøjet til to etager mellem 1853 og 1855). Kirkeplads 8C: baghuset (1855), opført som værkstedsbygning. Fredet 1978. Udvidet 1990.*;Kirkeplads 8 A-C, Aabenraa, Danmark;55,0445938;9,4179928
Aabenraa;Lille Pottergade 5;Leistmanns Fattighus;1977;1744;Baroque and rococo;Forhuset (før 1744, grundmuret mellem 1764 og 1775 samt senere). Fredet 1977.*;Lille Pottergade 5, Aabenraa, Danmark;55,0445190;9,4170300
Aabenraa;Nybro 14;Nybro 14;1921;1705;Baroque and rococo;Gavlhuset (10 fag langt bindingsværkshus 1705 med det 1781 tilføjede, grundmurede fag med gavlen mod gaden) samt muren langs gaden (ca. 1750). Fredet 1921.*;Nybro 14, Aabenraa, Danmark;55,0420460;9,4157490
Aabenraa;Nygade 44;Nygade 44;1977;1740;Baroque and rococo;Det grundmurede forhus (1740) og baghus (1864). Fredet 1977.*;Nygade 44, Aabenraa, Danmark;55,0445800;9,4155000
Aabenraa;Nygade 45;Nygade 45;1977;1737;Baroque and rococo;Det grundmurede gavlhus (1737, forlænget med tre fag mellem 1751 og 1754, forhøjet i 1866) og den dermed sammenbyggede sidebygning med bulkonstruktion i gårdsidens 2. etage (formentlig 1. halvdel af 1800-tallet) samt gårdspladsens brolægning. Fredet 1977.*;Nygade 45, Aabenraa, Danmark;54,8194020;9,3511350
Aabenraa;Nygade 62;Nygade 62;1979;1744;Baroque and rococo;Gavlhuset (før 1744, helt omsat i grundmur mellem 1825 og 1900). Fredet 1979.*;Nygade 62, Aabenraa, Danmark;55,0434470;9,4155520
Aabenraa;Nygade 66;Nygade 66;1977;1744;Baroque and rococo;Forhuset (før 1744, gadeside og gavle grundmurede ca. 1815 og senere) samt gårdspladsens brolægning. Fredet 1977.*;Nygade 66, Aabenraa, Danmark;55,0433340;9,4155890
Aabenraa;Nygade 70;Nygade 70;1977;1745;Baroque and rococo;Det grundmurede forhus (1745, gadedør 1789). Fredet 1977.;Nygade 70, Aabenraa, Danmark;55,0427310;9,4156460
Aabenraa;Persillegade 1;Persillegade 1;1977;1748;Baroque and rococo;Det grundmurede forhus (1748). Fredet 1977.*;Persillegade 1, Aabenraa, Danmark;55,0444480;9,4150110
Aabenraa;Skibbrogade 16;Skibbrogade 16;1977;1739;Baroque and rococo;Det fire fag dybe bindingsværksgavlhus med grundmuret gavl mod gaden (1739, senere delvis grundmuret). Fredet 1977.*;Skibbrogade 16, Aabenraa, Danmark;55,0418840;9,4209630
Aabenraa;Skibbrogade 3;Skibbrogade 3;1972;1737;Baroque and rococo;De to sammenbyggede trefags bindingsværkshuse med grundmurede gadesider (det vestre 1737, det østre 1748). Fredet 1972.*;Skibbrogade 3, Aabenraa, Danmark;55,0421960;9,4196910
Aabenraa;Slotsgade 11;Slotsgade 11;1921;1707;Baroque and rococo;Gavlhuset (1707, senere delvis grundmuret) with sidehus (mellem 1709 og 1770) og tværhuset (ca. 1864, forhøjet 1871). Fredet 1921.*;Slotsgade 11, Aabenraa, Danmark;55,0414400;9,4182240
Aabenraa;Slotsgade 15;Slotsgade 15;1921;1713;Baroque and rococo;Gavlhuset (1713, delvis grundmuret i sidste halvdel af 1800-tallet). Fredet 1921.*;Slotsgade 15, Aabenraa, Danmark;55,0414140;9,4178230
Aabenraa;Slotsgade 21;Slotsgade 21;1921;1725;Baroque and rococo;Gavlhuset (formentlig opført i 1725-50, de fire forreste fag forhøjet til to etager før 1770). Fredet 1921.*;Slotsgade 21, Aabenraa, Danmark;55,0413530;9,4174090
Aabenraa;Slotsgade 3;Slotsgade 3;1978;1744;Baroque and rococo;Forhuset (mellem 1744 og 1754). Fredet 1978.*;Slotsgade 3, Aabenraa, Danmark;55,0415200;9,4189310
Aabenraa;Slotsgade 33;Slotsgade 33;1971;1748;Baroque and rococo;Det grundmurede forhus (ca. 1748, ombygget ca. 1820 og 1850) og muren ud mod Slotsgade. Fredet 1971.*;Slotsgade 33, Aabenraa, Danmark;55,0411660;9,4162230
Aabenraa;Slotsgade 5;Slotsgade 5;1921;1707;Baroque and rococo;Gavlhuset (1707, delvis grundmuret efter 1872). Fredet 1921.*;Slotsgade 5, Aabenraa, Danmark;55,0414790;9,4187470
Aabenraa;Slotsgade 9;Slotsgade 9;1921;1710;Baroque and rococo;Gavlhuset (ca. 1710-15) med sidehus (mellem 1770 og 1780). Fredet 1921.*;Slotsgade 9, Aabenraa, Danmark;55,0414590;9,4183880
Aabenraa;Store Pottergade 9;Store Pottergade 9;1977;1744;Baroque and rococo;Forhuset (før 1744, delvis grundmuret mellem 1815 og 1825). Fredet 1977.*;Store Pottergade 9, Aabenraa, Danmark;55,0448180;9,4178170
Aabenraa;Storegade 2 B;Kliplev Præstegård;1950;1747;Baroque and rococo;Hovedbygningen (1747). Fredet 1950.;Storegade 2 B, Aabenraa, Danmark;55,0922890;9,4633150
Aabenraa;Torvet 2;Kliplev Kro;1950;1700;Baroque and rococo;Hovedbygningen (1700-tallet, kvisten 1852). Fredet 1950. *;Torvet 2, Aabenraa, Danmark;54,9388570;9,4016800
Aabenraa;Vægterpladsen 1;Vægterpladsen 1;1921;1744;Baroque and rococo;Det grundmurede forhus på ni fag (kort før 1744, ombygget ca. 1800). Fredet 1921.*;Vægterpladsen 1, Aabenraa, Danmark;55,0449420;9,4165100
Aabenraa;Vægterpladsen 1 A;Det Blinde Æsel;1921;1744;Baroque and rococo;Det fem fag dybe bindingsværksgavlhus med grundmuret gavl mod pladsen (mellem 1744 og 1754). Fredet 1921.*;Vægterpladsen 1 A, Aabenraa, Danmark;55,0450000;9,4163470
Aalborg;Kongstedlundvej 18;Kongstedlund;1918;1592;Renaissance;Hovedbygningens vestre fløj (1592, portalen 1640) med den smalle del af søndre fløj (1700-tallet) samt de omgivende grave. Fredet 1918.*;Kongstedlundvej 18, Aalborg, Danmark;56,8733110;10,1492040
Aalborg;Nørregade 1, hj;af Fjordgade;1972;ca. 1560-1600;Renaissance;Nørregade 1. Forhus mod Nørregade (ca. 1560-1600), forhus mod Fjordsgade (ca. 1580-1600). Fredet 1972.*;Nørregade 1, hj, Aalborg, Danmark;;
Aalborg;Nørregade 9;Nørregade 9;1919;1600;Renaissance;Bindingsværkssidelænge (sidste halvdel af 1600-tallet). Fredet 1919.*;Nørregade 9, Aalborg, Danmark;57,0466990;9,9262420
Aalborg;Skansen 1;Hals Skanse;1918;;Renaissance;Den af fire bastioner bestående skanse med krudtmagasin og tøjhusbygningen samt den omgivende grav og redanen i nord. Fredet 1918.;Skansen 1, Aalborg, Danmark;56,9932300;10,3098480
Aalborg;Slotspladsen 1;Ålborg Slot;1918;1539;Renaissance;Slottets nord-, øst- og sydfløj (1539-ca. 1550 af Martin Bussert samt 1633 og 1705), muren der afgrænser slotsgårdens vestside samt det omgivende voldanlæg. Fredet 1918.;Slotspladsen 1, Aalborg, Danmark;57,0496170;9,9244770
Aalborg;Vår Skovvej 6;Vår;1964;1587;Renaissance;Den tofløjede hovedbygning samt den vest herfor liggende mur med portpiller og pavilloner (1587-90, reduceret og ombygget 1722). Fredet 1964.*;Vår Skovvej 6, Aalborg, Danmark;57,0018020;9,4518340
Aalborg;Østerågade 23 og Maren Turisgade 6;Hamborggården;1918;ca. 1580-90;Renaissance;Forhuset mod Østerå (efter 1616), den østre sidelænge langs ejendommens sdr. skel (ca. 1600), den vestre sidelænge langs sdr. skel med portbygningen mod Maren Turisgade (ca. 1580-90, facaden mod Maren Turisgade grundmuret i 1800-tallet). Fredet 1918.*;Østerågade 23 og Maren Turisgade 6, Aalborg, Danmark;;
Aalborg;Østerågade 25;Borgmester Jørgen Olufsens Gård;1918;1616;Renaissance;Gavlhuset og den hermed sammenbyggede sidebygning langs ejendommens ndr. skel (1616, gårdside og sidebygning delvis ombygget i 1800-tallet). Fredet 1918.*;Østerågade 25, Aalborg, Danmark;57,0496870;9,9220460
Aalborg;Østerågade 9;Jens Bangs Stenhus;1918;1623;Renaissance;Stenhuset mod Østerågade (1623-24) med trappetårnet (1897) samt side- og bagbygningerne mod syd (Adelgade, med overhvælvet kælderrum), west (Cortesgyde) og nord. Fredet 1918.*;Østerågade 9, Aalborg, Danmark;57,0484370;9,9211280
Aalborg;Kong Christians Allé 50;Nordjyllands Kunstmuseum;1995;1963;Modernism;Museumsbygningen, skulpturparken med omgivende mure og med terrasser og amfiteater, forpladsen med nedkørsel, parkeringspladsen samt den græsbevoksede vold mod Kong Christians Allé (1963-72 af Jean-Jacques Baruël i samarbejde med Elissa Aalto og Alvar Aalto). Fredet 1995.;Kong Christians Allé 50, Aalborg, Danmark;57,0426890;9,9060150
Aalborg;Riihimäkivej 3;Riihimäkivej 3;2009;1956;Modernism;Industribygningen (1956 af Arne Jacobsen) samt ejendommens mur mod Riihimäkivej og den fritstående skorsten. Fredet 2009. *;Riihimäkivej 3, Aalborg, Danmark;;
Aalborg;Adelgade 14, hj;af Latinergyden og Klosterjordet;1918;ca. 1400-50;Medieval;Ålborg Hospital, Helligåndsklosteret. Helligåndsklosterets bygninger (ca. 1400-50, ca. 1500). Fredet 1918.*;Adelgade 14, hj, Aalborg, Danmark;;
Aalborg;Adelgade 4-6;Brix'es Gård;1919;senmiddelalder;Medieval;De fire længer mellem Cortesgyde og C.W. Obels Plads (senmiddelalder og ca. 1580-90 samt senere). Fredet 1919.*;Adelgade 4-6, Aalborg, Danmark;57,0484961;9,9185421
Aalborg;Bakmøllevej 241;Vang;1932;1788;Classicism;Den trelængede hovedbygning (1788-89) med gravene mod nord, øst og syd. Fredet 1932.;Bakmøllevej 241, Aalborg, Danmark;57,1421390;9,9356430
Aalborg;Gammel Østergade 8;Bryggergården;1919;1791;Classicism;Forhus med sidehus (1791). Fredet 1919.;Gammel Østergade 8, Aalborg, Danmark;57,0589570;9,9242910
Aalborg;Gammeltorv 2;Ålborg gamle Rådhus;1918;1757;Classicism;Rådhusbygningen (1757-62, formentlig af Daniel Hopp). Fredet 1918.*;Gammeltorv 2, Aalborg, Danmark;57,0482380;9,9207360
Aalborg;Halkærvej 3;Lundbæk;1918;1804;Classicism;Hovedbygningen (1804) med omgivende grave. Fredet 1918.;Halkærvej 3, Aalborg, Danmark;56,9623770;9,6083950
Aalborg;Hvorupgårdvej 82;Bjørumgård;1939;1800;Classicism;Den trefløjede hovedbygning (ca. 1800). Fredet 1939.;Hvorupgårdvej 82, Aalborg, Danmark;57,1227340;9,9231910
Aalborg;Kirkegårdsgade 3;Kirkegårdsgade 3;1954;1809;Classicism;Forhuset (1809). Fredet: 1954.*;Kirkegårdsgade 3, Aalborg, Danmark;57,0458290;9,9118410
Aalborg;Mellemgade 52, Nibe;Mellemgade 52;1979;1825;Classicism;Forhuset mod Strandgade (1825) og sidehuset mod Mellemgade (1848). Fredet 1979.*;Mellemgade 52, Nibe, Aalborg, Danmark;56,9842250;9,6340470
Aalborg;Møllebrovej 2;Gudumlund;1983;1776;Classicism;Hovedbygningen (1776), den ottekantede hollænderibygning, den brolagte gårdsplads, haven, tørveladen, de to murstykker om gårdspladsen og alléen. Fredet 1983. Udvidet 2010;Møllebrovej 2, Aalborg, Danmark;56,9399120;10,1059770
Aalborg;Postgårdsvej 9-11;Postgård;1939;1804;Classicism;Hovedbygningen (1804, et fag tilbygget ca. 1860). Fredet 1939.;Postgårdsvej 9-11, Aalborg, Danmark;57,0115923;9,9950778
Aalborg;Refsnæsvej 3;Refsnæs;1939;1791;Classicism;Hovedbygningens nordfløj (1791) og østlænge (ca. 1840-50) samt den store lade (1612). Fredet 1939.;Refsnæsvej 3, Aalborg, Danmark;56,9094360;10,0913550
Aalborg;Algade 42-44;Aalborg Post- og Telegraf;1988;1908;Historicism;Det trefløjede bygningsanlæg med side- og baghuse, gårdsplads og portparti (1908-10 af Hack Kampmann). Fredet 1988.*;Algade 42-44, Aalborg, Danmark;57,0476249;9,9197692
Aalborg;C.A;Olesens Gade 1, Strandvejen 16 og Vestre Havnepromenade 21;2015;1931;Historicism;De Danske Spritfabrikker Aalborg. De Danske Spritfabrikkers anlæg i Aalborg bestående af fabriksbygning med trappetårn, brænderitårn, aftapningsbygning, kogerbygning, malteribygning med sammenbygget silobygning og forbindelsesbro til fabriksbygning, kulfilterbygning, rørtunnel mellem kulfilterbygning og brænderitårn, kedelhuse med maskinværksted, dampskorsten, jernbaneporten med murstykker og -piller, de fem nittede jerntanke nord for kulfilterbygningen samt kontorbygning (1931 af Alf. Cock-Clausen og D.D.S.F.’s driftskontor, med senere tilføjelser). Fredet 2015. *;C.A, Aalborg, Danmark;57,0439913;9,9272896
Aalborg;Gammeltorv 10;Gammeltorv 10;1978;1874;Historicism;Den ældre bankbygning (1874-75 af J.D. Herholdt). Fredet 1978.*;Gammeltorv 10, Aalborg, Danmark;57,0483020;9,9197160
Aalborg;Gammeltorv 4 (tidl;nr;1988;1940;Historicism;6). Tinghuset. Tinghuset (1940-43, Bent Helweg-Møller). Fredet 1988. *;Gammeltorv 4 (tidl, Aalborg, Danmark;;
Aalborg;Hasserisvej 168;Gaarden;1988;1917;Historicism;Villa, garagebygning og forplads (1917 af Ejnar Packness). Fredet 1988.*;Hasserisvej 168, Aalborg, Danmark;57,0409300;9,8872210
Aalborg;John F;Kennedys Plads 3;1992;1902;Historicism;Aalborg Station. Aalborg Stations hovedbygning (1902 af Thomas Arboe). Fredet 1992.;John F, Aalborg, Danmark;57,0427580;9,9181100
Aalborg;Kong Hansgade 18;Ting- og Arresthuset;1988;1918;Historicism;Det trefløjede bygningsanlæg med tilhørende gårde og omgivende haveanlæg (1918 og 1943 af Ejnar Packness). Fredet 1988.;Kong Hansgade 18, Aalborg, Danmark;;
Aalborg;Ryesgade 52;Ryesgade Skole;1995;1911;Historicism;Administrations- og gymnastikbygningen, de fire pavilloner med to forbindende toiletbygninger samt skolegården (1911 og udvidet 1917 af Oscar Beck). Fredet 1995. *;Ryesgade 52, Aalborg, Danmark;57,0548640;9,9040930
Aalborg;Vesterbro 1-15;Enighedslund;2014;1938;Historicism;Etageboligbebyggelsen Enighedslund (1938 af Kooperative Arkitekter ved Ivar Bentsen, Vagn Kasstrup og Harald Petersen) med tilhørende gård- og haveanlæg. Fredet 2014*;Vesterbro 1-15, Aalborg, Danmark;57,0449580;9,9146401
Aalborg;Zincksvej 1, Godthåb;Godthåb Hammerværk;2005;1894;Historicism;Turbinetårnet (1894), Kedelhuset med skorsten (1897), Vestre smedje med shedtage, skorstene og 11 nagelfaste maskiner inkl. turbine og 2 drivaksler (1915), Østre Smedje (1902) og Tørrelade nr. 4 (1897). Fredet 2005;Zincksvej 1, Godthåb, Aalborg, Danmark;56,9690650;9,8108360
Aalborg;Østerågade 29;Distriktstoldkammeret;1988;1900;Historicism;Det trefløjede bygningsanlæg med gårdsplads og gårdmur samt tilhørende udhuse på gårdspladsen (1900-1902 af Hack Kampmann). Fredet 1988.;Østerågade 29, Aalborg, Danmark;57,0491568;9,9219037
Aalborg;Egensevej 155;Klarupgård;1939;1700;Baroque and rococo;Den trelængede hovedbygning (hovedfløjen 1700-tallet, sidelængerne 1847-48). Fredet 1939.;Egensevej 155, Aalborg, Danmark;57,0183240;10,0641420
